energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-5.79589795,5.58492517,-5.58492457,2.40820562,-2.40820531,1.51230571,-1.51230542,0.27315278,-0.27315278,0.00778489,-0.00778489,0.00832554,-0.00832554,3.35953671,-3.35953635
-5.78989495,5.64429347,-5.64429292,2.44309054,-2.44309024,1.53375482,-1.53375453,0.27395138,-0.27395138,0.00782601,-0.00782601,0.00802387,-0.00802387,3.40099792,-3.40099759
-5.78389195,5.69142061,-5.69142011,2.47394574,-2.47394546,1.55290714,-1.55290686,0.27378984,-0.27378985,0.00784054,-0.00784054,0.00769456,-0.00769456,3.43578567,-3.43578537
-5.77788894,5.72666041,-5.72665996,2.50086383,-2.50086355,1.56993516,-1.56993489,0.27262083,-0.27262084,0.00782835,-0.00782835,0.00734111,-0.00734112,3.46414865,-3.46414837
-5.77188594,5.75073425,-5.75073383,2.52406154,-2.52406127,1.58509923,-1.58509896,0.27041933,-0.27041935,0.00778994,-0.00778994,0.00696740,-0.00696740,3.48654433,-3.48654406
-5.76588294,5.76470000,-5.76469961,2.54386794,-2.54386768,1.59873630,-1.59873602,0.26718390,-0.26718392,0.00772644,-0.00772645,0.00657752,-0.00657753,3.50361845,-3.50361820
-5.75987994,5.76990270,-5.76990232,2.56070565,-2.56070538,1.61124403,-1.61124374,0.26293677,-0.26293680,0.00763958,-0.00763958,0.00617580,-0.00617580,3.51617387,-3.51617361
-5.75387694,5.76790942,-5.76790904,2.57506613,-2.57506586,1.62306106,-1.62306076,0.25772295,-0.25772299,0.00753157,-0.00753157,0.00576662,-0.00576662,3.52513030,-3.52513004
-5.74787394,5.76043205,-5.76043166,2.58748053,-2.58748026,1.63464453,-1.63464422,0.25160837,-0.25160841,0.00740505,-0.00740505,0.00535437,-0.00535438,3.53147740,-3.53147713
-5.74187094,5.74924227,-5.74924186,2.59848765,-2.59848737,1.64644594,-1.64644561,0.24467710,-0.24467715,0.00726296,-0.00726296,0.00494337,-0.00494337,3.53622349,-3.53622321
-5.73586793,5.73608330,-5.73608286,2.60860086,-2.60860057,1.65888677,-1.65888642,0.23702800,-0.23702804,0.00710841,-0.00710841,0.00453770,-0.00453771,3.54034298,-3.54034267
-5.72986493,5.72258338,-5.72258290,2.61827608,-2.61827577,1.67233511,-1.67233474,0.22877080,-0.22877085,0.00694460,-0.00694460,0.00414119,-0.00414119,3.54472522,-3.54472489
-5.72386193,5.71017561,-5.71017509,2.62788237,-2.62788205,1.68708451,-1.68708412,0.22002206,-0.22002211,0.00677465,-0.00677465,0.00375728,-0.00375728,3.55012774,-3.55012738
-5.71785893,5.70002834,-5.70002778,2.63767710,-2.63767676,1.70333615,-1.70333574,0.21090097,-0.21090102,0.00660149,-0.00660149,0.00338902,-0.00338902,3.55713608,-3.55713569
-5.71185593,5.69298967,-5.69298906,2.64778675,-2.64778640,1.72118522,-1.72118478,0.20152541,-0.20152546,0.00642782,-0.00642782,0.00303895,-0.00303896,3.56613256,-3.56613214
-5.70585293,5.68954869,-5.68954804,2.65819467,-2.65819432,1.74061219,-1.74061174,0.19200834,-0.19200839,0.00625598,-0.00625598,0.00270915,-0.00270915,3.57727535,-3.57727490
-5.69984992,5.68981518,-5.68981449,2.66873620,-2.66873584,1.76147932,-1.76147885,0.18245477,-0.18245482,0.00608788,-0.00608788,0.00240115,-0.00240115,3.59048878,-3.59048832
-5.69384692,5.69351829,-5.69351758,2.67910143,-2.67910108,1.78353248,-1.78353200,0.17295923,-0.17295928,0.00592504,-0.00592504,0.00211598,-0.00211598,3.60546531,-3.60546484
-5.68784392,5.70002393,-5.70002320,2.68884540,-2.68884507,1.80640826,-1.80640777,0.16360411,-0.16360416,0.00576849,-0.00576849,0.00185418,-0.00185418,3.62167862,-3.62167814
-5.68184092,5.70836928,-5.70836855,2.69740511,-2.69740479,1.82964580,-1.82964532,0.15445856,-0.15445860,0.00561885,-0.00561885,0.00161584,-0.00161584,3.63840713,-3.63840665
-5.67583792,5.71731243,-5.71731172,2.70412230,-2.70412201,1.85270290,-1.85270242,0.14557815,-0.14557820,0.00547631,-0.00547631,0.00140063,-0.00140063,3.65476648,-3.65476602
-5.66983492,5.72539417,-5.72539349,2.70827104,-2.70827078,1.87497552,-1.87497505,0.13700524,-0.13700529,0.00534072,-0.00534072,0.00120785,-0.00120785,3.66974920,-3.66974877
-5.66383192,5.73100853,-5.73100790,2.70908844,-2.70908823,1.89581992,-1.89581948,0.12876975,-0.12876979,0.00521162,-0.00521162,0.00103653,-0.00103654,3.68226948,-3.68226909
-5.65782891,5.73247861,-5.73247806,2.70580726,-2.70580710,1.91457642,-1.91457601,0.12089047,-0.12089051,0.00508832,-0.00508832,0.00088545,-0.00088545,3.69121095,-3.69121061
-5.65182591,5.72813399,-5.72813352,2.69768871,-2.69768861,1.93059388,-1.93059350,0.11337672,-0.11337675,0.00496996,-0.00496996,0.00075319,-0.00075319,3.69547515,-3.69547488
-5.64582291,5.71638610,-5.71638574,2.68405417,-2.68405414,1.94325387,-1.94325354,0.10623005,-0.10623009,0.00485561,-0.00485561,0.00063825,-0.00063825,3.69402862,-3.69402842
-5.63981991,5.69579852,-5.69579828,2.66431440,-2.66431444,1.95199385,-1.95199356,0.09944618,-0.09944621,0.00474429,-0.00474429,0.00053904,-0.00053904,3.68594662,-3.68594651
-5.63381691,5.66514923,-5.66514911,2.63799512,-2.63799524,1.95632834,-1.95632811,0.09301671,-0.09301674,0.00463510,-0.00463510,0.00045397,-0.00045397,3.67045179,-3.67045177
-5.62781391,5.62348263,-5.62348266,2.60475810,-2.60475830,1.95586759,-1.95586742,0.08693083,-0.08693086,0.00452720,-0.00452720,0.00038146,-0.00038146,3.64694640,-3.64694648
-5.62181091,5.57014975,-5.57014992,2.56441703,-2.56441731,1.95033298,-1.95033287,0.08117669,-0.08117671,0.00441987,-0.00441987,0.00032000,-0.00032000,3.61503715,-3.61503733
-5.61580790,5.50483532,-5.50483563,2.51694774,-2.51694810,1.93956893,-1.93956888,0.07574256,-0.07574259,0.00431257,-0.00431257,0.00026817,-0.00026817,3.57455185,-3.57455213
-5.60980490,5.42757156,-5.42757202,2.46249262,-2.46249306,1.92355072,-1.92355073,0.07061767,-0.07061770,0.00420491,-0.00420492,0.00022465,-0.00022466,3.52554770,-3.52554808
-5.60380190,5.33873859,-5.33873919,2.40135921,-2.40135973,1.90238828,-1.90238836,0.06579274,-0.06579276,0.00409668,-0.00409668,0.00018824,-0.00018824,3.46831127,-3.46831175
-5.59779890,5.23905213,-5.23905286,2.33401336,-2.33401395,1.87632568,-1.87632581,0.06126016,-0.06126018,0.00398780,-0.00398780,0.00015786,-0.00015786,3.40335036,-3.40335093
-5.59179590,5.12953959,-5.12954045,2.26106717,-2.26106783,1.84573640,-1.84573659,0.05701401,-0.05701404,0.00387837,-0.00387837,0.00013255,-0.00013255,3.33137857,-3.33137922
-5.58579290,5.01150593,-5.01150689,2.18326260,-2.18326331,1.81111464,-1.81111488,0.05304983,-0.05304985,0.00376859,-0.00376859,0.00011149,-0.00011149,3.25329329,-3.25329401
-5.57978989,4.88649096,-4.88649201,2.10145112,-2.10145189,1.77306274,-1.77306302,0.04936413,-0.04936415,0.00365875,-0.00365875,0.00009395,-0.00009395,3.17014815,-3.17014893
-5.57378689,4.75621996,-4.75622107,2.01657051,-2.01657131,1.73227526,-1.73227557,0.04595398,-0.04595400,0.00354920,-0.00354920,0.00007933,-0.00007933,3.08312104,-3.08312186
-5.56778389,4.62254951,-4.62255067,1.92961936,-1.92962019,1.68952004,-1.68952037,0.04281638,-0.04281640,0.00344034,-0.00344034,0.00006711,-0.00006711,2.99347889,-2.99347975
-5.56178089,4.48741062,-4.48741181,1.84163042,-1.84163127,1.64561690,-1.64561724,0.03994775,-0.03994776,0.00333256,-0.00333256,0.00005688,-0.00005688,2.90254052,-2.90254139
-5.55577789,4.35275090,-4.35275208,1.75364338,-1.75364422,1.60141449,-1.60141483,0.03734338,-0.03734339,0.00322624,-0.00322624,0.00004827,-0.00004827,2.81163860,-2.81163947
-5.54977489,4.22047769,-4.22047884,1.66667814,-1.66667898,1.55776606,-1.55776640,0.03499706,-0.03499707,0.00312174,-0.00312174,0.00004100,-0.00004100,2.72208203,-2.72208289
-5.54377189,4.09240382,-4.09240493,1.58170925,-1.58171007,1.51550486,-1.51550518,0.03290076,-0.03290077,0.00301936,-0.00301936,0.00003483,-0.00003483,2.63511980,-2.63512062
-5.53776888,3.97019742,-3.97019846,1.49964221,-1.49964300,1.47541983,-1.47542012,0.03104442,-0.03104442,0.00291934,-0.00291934,0.00002958,-0.00002958,2.55190719,-2.55190796
-5.53176588,3.85533706,-3.85533800,1.42129232,-1.42129307,1.43823248,-1.43823272,0.02941592,-0.02941592,0.00282188,-0.00282188,0.00002510,-0.00002510,2.47347543,-2.47347614
-5.52576288,3.74907329,-3.74907413,1.34736655,-1.34736725,1.40457548,-1.40457568,0.02800114,-0.02800115,0.00272713,-0.00272713,0.00002127,-0.00002127,2.40070531,-2.40070595
-5.51975988,3.65239750,-3.65239823,1.27844891,-1.27844956,1.37497395,-1.37497410,0.02678416,-0.02678416,0.00263516,-0.00263516,0.00001798,-0.00001798,2.33430550,-2.33430606
-5.51375688,3.56601852,-3.56601911,1.21498960,-1.21499019,1.34982965,-1.34982974,0.02574750,-0.02574751,0.00254604,-0.00254604,0.00001516,-0.00001516,2.27479607,-2.27479655
-5.50775388,3.49034755,-3.49034801,1.15729812,-1.15729865,1.32940901,-1.32940904,0.02487250,-0.02487251,0.00245977,-0.00245977,0.00001273,-0.00001273,2.22249742,-2.22249781
-5.50175088,3.42549162,-3.42549195,1.10554044,-1.10554090,1.31383512,-1.31383508,0.02413969,-0.02413969,0.00237634,-0.00237634,0.00001066,-0.00001066,2.17752496,-2.17752526
-5.49574787,3.37125540,-3.37125559,1.05974017,-1.05974057,1.30308408,-1.30308398,0.02352919,-0.02352919,0.00229571,-0.00229571,0.00000888,-0.00000888,2.13978951,-2.13978971
-5.48974487,3.32715136,-3.32715143,1.01978363,-1.01978397,1.29698594,-1.29698578,0.02302118,-0.02302118,0.00221783,-0.00221783,0.00000736,-0.00000736,2.10900330,-2.10900342
-5.48374187,3.29241791,-3.29241786,0.98542851,-0.98542879,1.29523004,-1.29522983,0.02259625,-0.02259625,0.00214266,-0.00214266,0.00000608,-0.00000608,2.08469151,-2.08469156
-5.47773887,3.26604474,-3.26604460,0.95631575,-0.95631597,1.29737478,-1.29737452,0.02223578,-0.02223578,0.00207012,-0.00207012,0.00000499,-0.00000499,2.06620880,-2.06620877
-5.47173587,3.24680498,-3.24680475,0.93198432,-0.93198449,1.30286143,-1.30286113,0.02192225,-0.02192225,0.00200014,-0.00200014,0.00000407,-0.00000407,2.05276045,-2.05276036
-5.46573287,3.23329292,-3.23329263,0.91188827,-0.91188840,1.31103158,-1.31103125,0.02163952,-0.02163951,0.00193265,-0.00193265,0.00000330,-0.00000330,2.04342751,-2.04342738
-5.45972986,3.22396652,-3.22396618,0.89541557,-0.89541566,1.32114758,-1.32114723,0.02137298,-0.02137298,0.00186756,-0.00186756,0.00000266,-0.00000266,2.03719516,-2.03719500
-5.45372686,3.21719324,-3.21719288,0.88190806,-0.88190813,1.33241536,-1.33241500,0.02110978,-0.02110978,0.00180477,-0.00180477,0.00000213,-0.00000213,2.03298352,-2.03298335
-5.44772386,3.21129810,-3.21129774,0.87068198,-0.87068204,1.34400883,-1.34400848,0.02083881,-0.02083881,0.00174418,-0.00174418,0.00000170,-0.00000170,2.02967986,-2.02967968
-5.44172086,3.20461228,-3.20461194,0.86104836,-0.86104841,1.35509497,-1.35509463,0.02055080,-0.02055080,0.00168566,-0.00168566,0.00000135,-0.00000135,2.02617135,-2.02617119
-5.43571786,3.19552086,-3.19552058,0.85233265,-0.85233269,1.36485872,-1.36485841,0.02023828,-0.02023828,0.00162907,-0.00162907,0.00000106,-0.00000106,2.02137730,-2.02137717
-5.42971486,3.18250831,-3.18250809,0.84389306,-0.84389311,1.37252693,-1.37252666,0.01989550,-0.01989550,0.00157425,-0.00157425,0.00000083,-0.00000083,2.01427970,-2.01427961
-5.42371186,3.16419993,-3.16419980,0.83513704,-0.83513711,1.37739032,-1.37739010,0.01951839,-0.01951839,0.00152104,-0.00152104,0.00000064,-0.00000064,2.00395128,-2.00395124
-5.41770885,3.13939829,-3.13939827,0.82553543,-0.82553552,1.37882291,-1.37882273,0.01910436,-0.01910437,0.00146927,-0.00146927,0.00000049,-0.00000049,1.98958004,-1.98958007
-5.41170585,3.10711314,-3.10711323,0.81463391,-0.81463402,1.37629806,-1.37629795,0.01865226,-0.01865226,0.00141875,-0.00141875,0.00000038,-0.00000038,1.97048953,-1.97048963
-5.40570285,3.06658397,-3.06658419,0.80206147,-0.80206161,1.36940087,-1.36940082,0.01816214,-0.01816214,0.00136931,-0.00136931,0.00000029,-0.00000029,1.94615411,-1.94615430
-5.39969985,3.01729463,-3.01729498,0.78753582,-0.78753600,1.35783631,-1.35783634,0.01763514,-0.01763514,0.00132077,-0.00132077,0.00000022,-0.00000022,1.91620897,-1.91620924
-5.39369685,2.95897947,-2.95897996,0.77086557,-0.77086578,1.34143316,-1.34143326,0.01707332,-0.01707333,0.00127299,-0.00127299,0.00000016,-0.00000016,1.88045445,-1.88045481
-5.38769385,2.89162117,-2.89162179,0.75194936,-0.75194961,1.32014362,-1.32014379,0.01647952,-0.01647953,0.00122582,-0.00122582,0.00000012,-0.00000012,1.83885488,-1.83885533
-5.38169085,2.81544044,-2.81544120,0.73077216,-0.73077244,1.29403890,-1.29403914,0.01585718,-0.01585718,0.00117914,-0.00117914,0.00000009,-0.00000009,1.79153199,-1.79153252
-5.37568784,2.73087849,-2.73087938,0.70739890,-0.70739921,1.26330109,-1.26330140,0.01521018,-0.01521019,0.00113289,-0.00113289,0.00000007,-0.00000007,1.73875348,-1.73875409
-5.36968484,2.63857304,-2.63857404,0.68196604,-0.68196638,1.22821186,-1.22821224,0.01454277,-0.01454278,0.00108699,-0.00108699,0.00000005,-0.00000005,1.68091741,-1.68091810
-5.36368184,2.53932917,-2.53933028,0.65467131,-0.65467167,1.18913857,-1.18913901,0.01385940,-0.01385940,0.00104142,-0.00104142,0.00000004,-0.00000004,1.61853313,-1.61853389
-5.35767884,2.43408657,-2.43408777,0.62576227,-0.62576266,1.14651861,-1.14651910,0.01316459,-0.01316460,0.00099619,-0.00099619,0.00000003,-0.00000003,1.55219976,-1.55220057
-5.35167584,2.32388438,-2.32388566,0.59552422,-0.59552463,1.10084252,-1.10084306,0.01246290,-0.01246291,0.00095132,-0.00095132,0.00000002,-0.00000002,1.48258319,-1.48258405
-5.34567284,2.20982547,-2.20982682,0.56426788,-0.56426830,1.05263689,-1.05263746,0.01175877,-0.01175878,0.00090686,-0.00090686,0.00000001,-0.00000001,1.41039266,-1.41039356
-5.33966983,2.09304141,-2.09304280,0.53231734,-0.53231777,1.00244745,-1.00244806,0.01105652,-0.01105652,0.00086290,-0.00086290,0.00000001,-0.00000001,1.33635774,-1.33635867
-5.33366683,1.97465953,-1.97466096,0.49999887,-0.49999931,0.95082326,-0.95082390,0.01036022,-0.01036022,0.00081950,-0.00081950,0.00000001,-0.00000001,1.26120676,-1.26120771
-5.32766383,1.85577323,-1.85577468,0.46763075,-0.46763119,0.89830233,-0.89830299,0.00967370,-0.00967371,0.00077676,-0.00077676,0.00000000,-0.00000000,1.18564726,-1.18564822
-5.32166083,1.73741629,-1.73741774,0.43551447,-0.43551491,0.84539915,-0.84539981,0.00900050,-0.00900051,0.00073478,-0.00073478,0.00000000,-0.00000000,1.11034916,-1.11035013
-5.31565783,1.62054197,-1.62054341,0.40392764,-0.40392807,0.79259441,-0.79259508,0.00834383,-0.00834384,0.00069365,-0.00069365,0.00000000,-0.00000000,1.03593100,-1.03593196
-5.30965483,1.50600707,-1.50600850,0.37311843,-0.37311884,0.74032711,-0.74032778,0.00770657,-0.00770658,0.00065346,-0.00065346,0.00000000,-0.00000000,0.96294941,-0.96295036
-5.30365183,1.39456112,-1.39456252,0.34330179,-0.34330220,0.68898893,-0.68898959,0.00709125,-0.00709126,0.00061428,-0.00061428,0.00000000,-0.00000000,0.89189196,-0.89189288
-5.29764882,1.28684037,-1.28684173,0.31465738,-0.31465777,0.63892091,-0.63892155,0.00650005,-0.00650005,0.00057620,-0.00057620,0.00000000,-0.00000000,0.82317316,-0.82317406
-5.29164582,1.18336633,-1.18336765,0.28732881,-0.28732918,0.59041218,-0.59041280,0.00593480,-0.00593481,0.00053926,-0.00053926,0.00000000,-0.00000000,0.75713338,-0.75713425
-5.28564282,1.08454819,-1.08454946,0.26142443,-0.26142478,0.54370050,-0.54370110,0.00539700,-0.00539701,0.00050353,-0.00050353,0.00000000,-0.00000000,0.69404038,-0.69404122
-5.27963982,0.99068843,-0.99068964,0.23701903,-0.23701936,0.49897427,-0.49897486,0.00488781,-0.00488781,0.00046904,-0.00046904,0.00000000,-0.00000000,0.63409285,-0.63409365
-5.27363682,0.90199096,-0.90199211,0.21415652,-0.21415684,0.45637574,-0.45637630,0.00440806,-0.00440806,0.00043581,-0.00043581,0.00000000,-0.00000000,0.57742564,-0.57742640
-5.26763382,0.81857098,-0.81857207,0.19285319,-0.19285348,0.41600496,-0.41600550,0.00395828,-0.00395828,0.00040388,-0.00040388,0.00000000,-0.00000000,0.52411617,-0.52411689
-5.26163082,0.74046588,-0.74046691,0.17310133,-0.17310160,0.37792434,-0.37792485,0.00353870,-0.00353871,0.00037326,-0.00037326,0.00000000,-0.00000000,0.47419142,-0.47419209
-5.25562781,0.66764651,-0.66764747,0.15487302,-0.15487327,0.34216330,-0.34216378,0.00314929,-0.00314929,0.00034396,-0.00034396,0.00000000,-0.00000000,0.42763523,-0.42763586
-5.24962481,0.60002827,-0.60002917,0.13812396,-0.13812419,0.30872304,-0.30872349,0.00278973,-0.00278973,0.00031599,-0.00031599,0.00000000,-0.00000000,0.38439553,-0.38439612
-5.24362181,0.53748171,-0.53748255,0.12279703,-0.12279724,0.27758095,-0.27758136,0.00245948,-0.00245948,0.00028935,-0.00028935,0.00000000,-0.00000000,0.34439118,-0.34439172
-5.23761881,0.47984211,-0.47984289,0.10882564,-0.10882583,0.24869480,-0.24869519,0.00215777,-0.00215777,0.00026406,-0.00026406,0.00000000,-0.00000000,0.30751814,-0.30751865
-5.23161581,0.42691803,-0.42691875,0.09613666,-0.09613683,0.22200644,-0.22200681,0.00188364,-0.00188365,0.00024011,-0.00024011,0.00000000,-0.00000000,0.27365511,-0.27365557
-5.22561281,0.37849867,-0.37849933,0.08465299,-0.08465315,0.19744501,-0.19744535,0.00163597,-0.00163597,0.00021750,-0.00021750,0.00000000,-0.00000000,0.24266817,-0.24266860
-5.21960980,0.33435997,-0.33436057,0.07429567,-0.07429581,0.17492972,-0.17493003,0.00141347,-0.00141347,0.00019624,-0.00019624,0.00000000,-0.00000000,0.21441488,-0.21441527
-5.21360680,0.29426964,-0.29427019,0.06498557,-0.06498570,0.15437216,-0.15437244,0.00121474,-0.00121474,0.00017631,-0.00017631,0.00000000,-0.00000000,0.18874740,-0.18874775
-5.20760380,0.25799116,-0.25799166,0.05664475,-0.05664487,0.13567820,-0.13567846,0.00103830,-0.00103830,0.00015772,-0.00015772,0.00000000,-0.00000000,0.16551514,-0.16551547
-5.20160080,0.22528686,-0.22528731,0.04919740,-0.04919751,0.11874963,-0.11874986,0.00088258,-0.00088258,0.00014044,-0.00014044,0.00000000,-0.00000000,0.14456676,-0.14456706
-5.19559780,0.19592031,-0.19592071,0.04257057,-0.04257066,0.10348541,-0.10348562,0.00074600,-0.00074601,0.00012447,-0.00012447,0.00000000,-0.00000000,0.12575167,-0.12575193
-5.18959480,0.16965819,-0.16965855,0.03669459,-0.03669467,0.08978284,-0.08978303,0.00062696,-0.00062696,0.00010977,-0.00010977,0.00000000,-0.00000000,0.10892122,-0.10892146
-5.18359180,0.14627168,-0.14627200,0.03150337,-0.03150345,0.07753845,-0.07753862,0.00052385,-0.00052385,0.00009632,-0.00009632,0.00000000,-0.00000000,0.09392963,-0.09392984
-5.17758879,0.12553759,-0.12553788,0.02693451,-0.02693458,0.06664890,-0.06664905,0.00043512,-0.00043512,0.00008407,-0.00008407,0.00000000,-0.00000000,0.08063466,-0.08063485
-5.17158579,0.10723931,-0.10723956,0.02292935,-0.02292940,0.05701173,-0.05701186,0.00035926,-0.00035926,0.00007299,-0.00007299,0.00000000,-0.00000000,0.06889824,-0.06889841
-5.16558279,0.09116757,-0.09116779,0.01943289,-0.01943294,0.04852608,-0.04852620,0.00029484,-0.00029484,0.00006301,-0.00006302,0.00000000,-0.00000000,0.05858695,-0.05858709
